match_id,match_type,date,venue,team1,team2,toss_winner,toss_decision,winner,team1_xi,team2_xi
211048,t20i,2005-02-17,Eden Park,New Zealand,Australia,Australia,bat,Australia,"BB McCullum,SP Fleming,MS Sinclair,SB Styris,CD McMillan,CL Cairns,HJH Marshall,AR Adams,JW Wilson,KD Mills,DR Tuffey","AC Gilchrist,MJ Clarke,A Symonds,RT Ponting,DR Martyn,SM Katich,MEK Hussey,JR Hopes,B Lee,MS Kasprowicz,GD McGrath"
211028,t20i,2005-06-13,The Rose Bowl,England,Australia,England,bat,England,"ME Trescothick,GO Jones,A Flintoff,KP Pietersen,MP Vaughan,PD Collingwood,AJ Strauss,VS Solanki,J Lewis,D Gough,SJ Harmison","AC Gilchrist,ML Hayden,A Symonds,MJ Clarke,MEK Hussey,RT Ponting,DR Martyn,B Lee,JN Gillespie,MS Kasprowicz,GD McGrath"
222678,t20i,2005-10-21,New Wanderers Stadium,South Africa,New Zealand,New Zealand,field,New Zealand,"GC Smith,JH Kallis,HH Gibbs,JM Kemp,MV Boucher,SM Pollock,AG Prince,JA Morkel,CK Langeveldt,M Ntini,A Nel,N Boje","SP Fleming,NJ Astle,HJH Marshall,CD McMillan,SB Styris,JDP Oram,BB McCullum,KD Mills,AR Adams,SE Bond,JAH Marshall,JS Patel"
226374,t20i,2006-01-09,"Brisbane Cricket Ground, Woolloongabba",Australia,South Africa,Australia,bat,Australia,"JR Hopes,DR Martyn,RT Ponting,A Symonds,MJ Clarke,MEK Hussey,BJ Haddin,SM Katich,NW Bracken,SR Clark,ML Lewis","GC Smith,HH Dippenaar,HH Gibbs,MV Boucher,SM Pollock,JH Kallis,JA Rudolph,AJ Hall,J Botha,GJP Kruger,M Zondeki"
238195,t20i,2006-02-24,New Wanderers Stadium,South Africa,Australia,South Africa,bat,South Africa,"GC Smith,LE Bosman,HH Gibbs,SM Pollock,JJ van der Wath,AB de Villiers,ND McKenzie,AJ Hall,RJ Peterson,R Telemachus,M Ntini","AC Gilchrist,SM Katich,RT Ponting,DR Martyn,MJ Clarke,SR Watson,GB Hogg,B Lee,NW Bracken,ML Lewis,SR Clark"
225271,t20i,2006-06-15,The Rose Bowl,England,Sri Lanka,Sri Lanka,bat,Sri Lanka,"ME Trescothick,AJ Strauss,KP Pietersen,PD Collingwood,JWM Dalrymple,GO Jones,TT Bresnan,EC Joyce,LE Plunkett,SI Mahmood,SJ Harmison","ST Jayasuriya,WU Tharanga,DPMD Jayawardene,TM Dilshan,KC Sangakkara,RP Arnold,CK Kapugedera,MF Maharoof,SL Malinga,CRD Fernando,PDRL Perera"
225263,t20i,2006-08-28,County Ground,England,Pakistan,England,bat,Pakistan,"ME Trescothick,IR Bell,KP Pietersen,AJ Strauss,PD Collingwood,JWM Dalrymple,MH Yardy,CMW Read,SI Mahmood,D Gough,SCJ Broad","Shoaib Malik,Mohammad Hafeez,Younis Khan,Shahid Afridi,Mohammad Yousuf,Inzamam-ul-Haq,Abdul Razzaq,Kamran Akmal,Naved-ul-Hasan,Shoaib Akhtar,Mohammad Asif"
255954,t20i,2006-12-01,New Wanderers Stadium,South Africa,India,South Africa,bat,India,"GC Smith,LE Bosman,HH Gibbs,JM Kemp,AB de Villiers,JA Morkel,JJ van der Wath,RJ Peterson,T Henderson,R Telemachus,CK Langeveldt","V Sehwag,SR Tendulkar,D Mongia,MS Dhoni,KD Karthik,SK Raina,IK Pathan,Harbhajan Singh,Z Khan,AB Agarkar,S Sreesanth"
251487,t20i,2006-12-22,Westpac Stadium,New Zealand,Sri Lanka,New Zealand,bat,Sri Lanka,"BB McCullum,SP Fleming,JEC Franklin,LRPL Taylor,NJ Astle,JAH Marshall,PD McGlashan,AR Adams,SE Bond,MR Gillespie,JS Patel","WU Tharanga,ST Jayasuriya,DPMD Jayawardene,KC Sangakkara,MS Atapattu,LPC Silva,CK Kapugedera,MF Maharoof,WPUJC Vaas,CRD Fernando,M Muralitharan"
251488,t20i,2006-12-26,Eden Park,New Zealand,Sri Lanka,New Zealand,field,New Zealand,"BB McCullum,SP Fleming,LRPL Taylor,NJ Astle,PG Fulton,PD McGlashan,JEC Franklin,AR Adams,MR Gillespie,JS Patel,MJ Mason","WU Tharanga,CK Kapugedera,DPMD Jayawardene,KC Sangakkara,MS Atapattu,TM Dilshan,LPC Silva,HMCM Bandara,SL Malinga,CRD Fernando,PDRL Perera"
249227,t20i,2007-01-09,Sydney Cricket Ground,Australia,England,Australia,bat,Australia,"AC Gilchrist,ML Hayden,RT Ponting,MEK Hussey,A Symonds,MJ Clarke,CL White,GB Hogg,NW Bracken,BW Hilfenhaus,SM Harwood","EC Joyce,MP Vaughan,A Flintoff,KP Pietersen,IR Bell,PD Collingwood,PA Nixon,JWM Dalrymple,J Lewis,MS Panesar,JM Anderson"
258463,t20i,2007-06-28,Kennington Oval,England,West Indies,West Indies,bat,West Indies,"AN Cook,MJ Prior,IJL Trott,KP Pietersen,PD Collingwood,OA Shah,AD Mascarenhas,MH Yardy,SCJ Broad,RJ Sidebottom,JM Anderson","CH Gayle,DS Smith,S Chanderpaul,MN Samuels,DJ Bravo,D Ramdin,DR Smith,RS Morton,DJG Sammy,R Rampaul,DBL Powell"
